mode,threads,matrix_size,repetition,wall_time_ms,exit_code
threads,6,400,1,3.749,0
threads,6,800,1,28.261,0
threads,6,1600,1,224.853,0
threads,6,3200,1,1843.925,0
threads,6,6400,1,17110.036,0
threads,6,400,2,3.725,0
threads,6,800,2,28.432,0
threads,6,1600,2,224.661,0
threads,6,3200,2,1843.261,0
threads,6,6400,2,17066.879,0
threads,6,400,3,3.728,0
threads,6,800,3,28.453,0
threads,6,1600,3,224.738,0
threads,6,3200,3,1843.075,0
threads,6,6400,3,17134.161,0
threads,6,400,4,3.893,0
threads,6,800,4,28.516,0
threads,6,1600,4,226.309,0
threads,6,3200,4,1839.793,0
threads,6,6400,4,17056.114,0
threads,6,400,5,3.745,0
threads,6,800,5,28.531,0
threads,6,1600,5,229.120,0
threads,6,3200,5,1827.554,0
threads,6,6400,5,16891.730,0
threads,6,400,6,3.741,0
threads,6,800,6,28.468,0
threads,6,1600,6,225.874,0
threads,6,3200,6,1843.078,0
threads,6,6400,6,16914.490,0
threads,6,400,7,3.739,0
threads,6,800,7,28.519,0
threads,6,1600,7,225.475,0
threads,6,3200,7,1866.880,0
threads,6,6400,7,17101.799,0
threads,6,400,8,3.740,0
threads,6,800,8,28.402,0
threads,6,1600,8,225.510,0
threads,6,3200,8,1888.741,0
threads,6,6400,8,16846.873,0
threads,6,400,9,3.737,0
threads,6,800,9,28.494,0
threads,6,1600,9,229.026,0
threads,6,3200,9,1842.038,0
threads,6,6400,9,16979.873,0
threads,6,400,10,7.237,0
threads,6,800,10,28.583,0
threads,6,1600,10,225.458,0
threads,6,3200,10,1846.854,0
threads,6,6400,10,17097.149,0
