mode,threads,matrix_size,repetition,wall_time_ms,exit_code
threads,12,400,1,3.880,0
threads,12,800,1,29.727,0
threads,12,1600,1,226.261,0
threads,12,3200,1,1842.968,0
threads,12,6400,1,17092.105,0
threads,12,400,2,3.853,0
threads,12,800,2,29.615,0
threads,12,1600,2,226.569,0
threads,12,3200,2,1835.944,0
threads,12,6400,2,17022.115,0
threads,12,400,3,3.816,0
threads,12,800,3,29.495,0
threads,12,1600,3,226.579,0
threads,12,3200,3,1841.664,0
threads,12,6400,3,17201.725,0
threads,12,400,4,3.831,0
threads,12,800,4,29.495,0
threads,12,1600,4,226.852,0
threads,12,3200,4,1841.887,0
threads,12,6400,4,16885.791,0
threads,12,400,5,3.852,0
threads,12,800,5,29.521,0
threads,12,1600,5,226.416,0
threads,12,3200,5,1840.859,0
threads,12,6400,5,17080.643,0
threads,12,400,6,3.847,0
threads,12,800,6,29.587,0
threads,12,1600,6,226.289,0
threads,12,3200,6,1838.709,0
threads,12,6400,6,16948.101,0
threads,12,400,7,3.854,0
threads,12,800,7,29.563,0
threads,12,1600,7,227.019,0
threads,12,3200,7,1835.813,0
threads,12,6400,7,17067.447,0
threads,12,400,8,3.840,0
threads,12,800,8,29.489,0
threads,12,1600,8,226.394,0
threads,12,3200,8,1885.088,0
threads,12,6400,8,16919.753,0
threads,12,400,9,4.794,0
threads,12,800,9,29.781,0
threads,12,1600,9,226.329,0
threads,12,3200,9,1861.609,0
threads,12,6400,9,16993.182,0
threads,12,400,10,3.869,0
threads,12,800,10,29.674,0
threads,12,1600,10,226.376,0
threads,12,3200,10,1845.701,0
threads,12,6400,10,16873.415,0
